id,tweet,user1,user2,user3,anno1,anno2,anno3,label
89978843,@username nwanne onye na achu ego na enwe obi okwute........ ka anyi tinye aru ##url,14,15,16,normal,normal,normal,normal
88293936,"@username need to see this -------&gt;@username : @username lol biko rapu go di ndi ofe mmanu, fa ma kwanu otu e si a nu nwaanyi?â€",11,12,13,hate,hate,normal,hate
89977234,@username rapu ha ndi ofe mmanu...o we ihe ha ma...,11,12,13,hate,hate,hate,hate
88977068,ọ bụrọ ife niine ka a na - agwa ofeke.  not every information is meant for the non initiate. emeritus prof j a umeh. @username #igboamaka #ikenganation #igboheritage #amaigbo #igbo #igboproverbs #iluigbo,11,12,13,normal,normal,abuse,normal
89977453,"@username everytime cho cho cho cho, achu chu ari onu ka enwe,  asiri gbakute,ifere ona emekwa gi?",11,12,13,abuse,abuse,normal,abuse
89977733,"biko hapu ha kanyi tachagodu abacha aa!""@username : ha no ebe a. ka mu kpo ndi ozu @username : kedu ha? rt amchizzy: ndi usa. jiri nu nwayo",11,12,13,abuse,abuse,abuse,abuse
89977160,"asiri gbakute... o na toh pieces, nwanyo kwa maka echi d'ime! lol",11,12,13,normal,abuse,abuse,abuse
89790676,onye ori mandate @username .  onye ori  derico mandate,11,12,13,abuse,abuse,abuse,abuse
88293964,@username ezigbo onye ori azuru azu ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,11,12,13,abuse,abuse,abuse,abuse
88976202,"@username a ga n’enwe anuli,onye mebie uwa a okwu o anyi ugwo in full o",14,15,16,normal,normal,normal,normal
89790941,@username ikpu nne gi na nna gi have stopped  dispensing cash now,11,12,13,abuse,abuse,abuse,abuse
89977376,dream realized! isi ewu - cc @username ##url,11,12,13,normal,abuse,normal,normal
89976557,@username god punish you there anu ohia nwuru anwu!! ozu! ekwensu odu ogologo!! olu! fat fool! anya ikwiikwii! onu ezi! dirty stinking pig!!,11,12,13,abuse,abuse,abuse,abuse
88976804,"@username hahahah.  bia nwa otu nna gi bu onye mgbu. serve 4 masters, no settlement, come on.",11,12,13,abuse,abuse,abuse,abuse
89790618,@username nwa akwụna is talking. ị maara nna gị?,11,12,13,abuse,abuse,abuse,abuse
89790628,"@username biko gbafuo.  nwanyị akwụna, nwa agbọghọ na-enweghị uche na onye nzuzu.",11,12,13,abuse,abuse,abuse,abuse
89790999,@username onye arụrụala mụọ,11,12,13,abuse,abuse,abuse,abuse
89977557,"@username this is so deep, enwerem olili anya na nne gị nọ ebe dị mma 🕊️",11,12,13,normal,normal,normal,normal
89976698,"loool! dnt mind d dead niccur.. onye ofè mmanu, onye ala! lool rt @username : @username foolish peasant. you wey go still die",11,12,13,hate,hate,hate,hate
89978318,@username amam na iga ebuputa nnukwu isi gi.,14,15,16,abuse,normal,abuse,abuse
89978589,"ọ kwa nwa nza rijuo afọ n'eluwa, ọ chere chi kere ya aka mgba.  hehehhehe. no talk say them no warn you ooo this pikin.",14,15,16,normal,normal,normal,normal
89976561,this sars issue is getting way out of hand!   ka anyi chukwa ewu oji mgbe anwu ka di!!!  wepu aka enwe n’ofe tupu owo aka mmadu !!!!,11,12,13,normal,normal,normal,normal
88977109,@username usu raa nne gi ebe ahu. ezi ekiti,11,12,13,abuse,abuse,abuse,abuse
89459638,"mba! agadi wanyi rt""@username : ""a sim gi meche onu gi, foto nna gi o no na white house?!""""",14,15,16,abuse,abuse,abuse,abuse
89978674,"@username iti boribo negodi ka i si echu ezi na ụlọ gị ịhụ. bia ebe a na a gwa ụwa niile na na nna gị kpotara nne gị ebe ọ na agba akwuna, nke ka nke bu na ọ mụrụ sọ akwuna mujuo ụlọ..",14,15,16,abuse,abuse,abuse,abuse
89976574,eziokwu nnam! @username : enugu should be calm. enugu is calm. imo should be calm. anambara too. abia. ebonyi. ndi igbo abughi ndi ogbu ochu,11,12,13,normal,normal,normal,normal
88977138,@username india ahu by ndi akpiri ogologo ha nile zara oku ahu gagwisi cha.isee,11,12,13,abuse,hate,abuse,abuse
89977207,@username dimkpa benin. nwa m e tola mana abụ. 🤡okpo,11,12,13,abuse,abuse,abuse,abuse
89977742,@username its sky blue mkpi ##url,11,12,13,abuse,abuse,abuse,abuse
89791943,@username ability to misbehave.   ndi ume ngwu,14,15,16,abuse,abuse,normal,abuse
89976851,@username strategy? imana ibu nnukwu onye nzuzu. okpara oma afo ya. obu soso akpa gi ka ina acho iwee kpooya strategy. kitikpa gbarie gi isi ebe ahu. strategy ibidoro tupu imuo nwa. ka strategy gbaagi gi ara ebe ahu. onye uzuzu.,11,12,13,abuse,abuse,abuse,abuse
89459919,"nkita ara @username alleged forgery: how fani-kayode paid n820,000 for forged medical report --witness tells court. onye oshi onye oshi onye oshi onye oshi onye oshi. a known criminal like you. ##url",14,15,16,abuse,abuse,abuse,abuse
89977964,@username ndi ofe mmanu for sure,14,15,16,hate,hate,normal,hate
89976954,"@username soludo don de beg us after 25 pages of rubbish about obi.   e eyes done clear, he don see tsunami obi.  obi no be anybody mate.  #anuohia  #onye iberibe   #obiphobia ##url",11,12,13,abuse,abuse,abuse,abuse
89978663,"i feel very warm to yoruba that proudly identify as yoruba  same as hausa and fulani who flaunt their identity that's beyr african  if you come close to me to be ""moderate igbo"" ụsụ ga amicha gị ọṅụ  ndị araa",14,15,16,abuse,abuse,abuse,abuse
89977219,@username ndi ofe mmanu ewero isi na madu 🤣,11,12,13,hate,hate,hate,hate
89976629,@username ajọ nwanyị ajoka. evil demonic woman,11,12,13,normal,abuse,abuse,abuse
89978565,@username anom na obodo ndi ofe mmanu naw.,14,15,16,hate,hate,hate,hate
89976608,nwayi wu onye ori ##url,11,12,13,abuse,abuse,abuse,abuse
89978906,see okoko 😂 onye mgbu!🤣 ##url,14,15,16,abuse,abuse,abuse,abuse
89977788,@username mbada onye mgbu,11,12,13,abuse,abuse,abuse,abuse
89976756,@username 's hate for ndi ofe mmanu can win a war!!,11,12,13,hate,hate,hate,hate
89976677,"isi ewu @username : ishe ewu!!! :d @username """,11,12,13,normal,abuse,normal,normal
89791835,@username ugbuakpu okija gbuo nna gi na nne gi  ihe ọma enweghị ike ime na ndụ gị. you are nothing but a walking corpse! go and meet your afar and check because you’re you just a time bomb ticking and waiting for your death day. ask your so called useless,14,15,16,abuse,normal,abuse,abuse
89977269,"ọ kwa onye iberibe gburu ede awịị. onye mụnye be ya ọkụ, ọ gbachaa, ọ sị na ebe niile efochapụla. uche gị dịkwa ebe onye nya akpa asụ nri nọ maka na nwaanyị okwu na ụka na-asị nwunye dị ya gbanye ya mmanụ ka ya were taa akwụ.",11,12,13,normal,normal,abuse,normal
88977060,rochas rie nsi! ewu awusa,11,12,13,abuse,abuse,abuse,abuse
89978465,ikpu nne gi ##url,14,15,16,abuse,abuse,abuse,abuse
89792207,akwukwo na-ato uto  o na-ahia ahu na mmuta  onye were ntachiobi  o ga-amuta akwukwo  ma oburu na nne gi na nna gi... ##url,14,15,16,normal,normal,normal,normal
89978053,"where i am now na atachara cognac nakwa eseti plan person don call peter obi okwute "" akpobi umu youth"" ""abidec umu azi"" ""courvoisier ogaranya obi ya di ocha"" ""nchekwube umu ogbenye""  ife mere , 😀",14,15,16,normal,normal,normal,normal
89977699,"@username huh? ima na abu'm onye ime ezi, biko kowaciate urslf lol",11,12,13,abuse,abuse,abuse,abuse
89460012,"@username nna gi na nne gi onye aguru, umu gi ndi aguru oburu na onwe nke inwere. mkpi di ka gi",14,15,16,abuse,abuse,abuse,abuse
89978937,alu! ndi ume ngwu. rt @username : kedu otu nwoke ga-esi nodu nwunnye ya na kwu ugwo uno? tufia,14,15,16,abuse,abuse,abuse,abuse
89792210,@username ara gbagbue gi.  anu ohia. ofeke nti ike.... onye iberibe. kitikpa racha gi anya na onu. onyeoshi. ndi nna nna gi ha nona ala ili buo gi onu. ewu ofia.,14,15,16,abuse,abuse,abuse,abuse
88977182,hushpuppi is from enugu state😆. his maternal grand mother is from imo state. ara ga agbaachi unu anya. ndi ugwu na ndi ofe mmanu. ##url,11,12,13,hate,hate,hate,hate
89977080,@username ọ bụ ndị akpịrị ga e je na ele ebuna eji achụ alakuba,11,12,13,abuse,abuse,normal,abuse
89459726,@username onukwu..ezi bida..dirty thing..owu ajoka biko..tufiakwa..alili egbu gom ebe nne na nna gi no..usu 🦇,14,15,16,abuse,abuse,abuse,abuse
89977907,@username mgbada chijioke anyigor 0759446702,11,12,13,normal,normal,normal,normal
89978867,"@username yerima shettima bu aturu ohia.....foolani janjaweed gburu ndi ofe mmanu, ndi akporo middle belt tinye, ndi ugwu, chupu ha niile n'ulo ha. tinye ha na idp camps...gini ka zoo media kporo ihe foolani na eme ma obughi 'invasion'... zuzuru gi bia n'ala biafra ka i nwuo pii zombie 🙄",14,15,16,abuse,hate,abuse,abuse
89977864,"yea, fack y'all:)“@username : fack all!! rt @username : nkakwu! fuck u too ;) “@username : eze ule“@username : manu wins ... ##url",11,12,13,abuse,abuse,abuse,abuse
89790896,@username adaka enwe. ofeke na amaghị mgbe ekere nkụ ụgwa ndị mmụọ dorrikwaa anụ. nkịta racha kwa ọbara gị na ama nna gị. ozu nwụrụ anwụ dị ka gị. onyisi na eso onyìsì agụ tawakwa gị isi ma gị na ekperima nwakpuda nwucikwa ụzọ. gị na dabakwa n'olulu ọnwụ. ndi ụchụ,11,12,13,abuse,abuse,abuse,abuse
